1,18258
2,33875
3,45421
4,82842
5,72911
6,14610
7,87717
8,79954
9,43690
10,46701
11,90835
12,90808
13,45632
14,51541
15,62079
16,22873
17,31900
18,43407
19,73152
20,30847
21,86476
22,86874
23,24334
24,71083
25,51462
26,47016
27,88209
28,70466
29,67791
30,69092
31,39276
32,1721
33,11765
34,58613
35,50937
36,29518
37,37537
38,61590
39,62405
40,19544
41,98497
42,66945
43,25978
44,84665
45,36758
46,21333
47,69609
48,61618
49,80249
50,28531
51,81495
52,48181
53,32551
54,3354
55,48812
56,74885
57,59646
58,75417
59,76565
60,86535
61,39370
62,94685
63,2037
64,9925
65,37013
66,2052
67,74901
68,99125
69,21525
70,90831
71,32402
72,63687
73,20594
74,77802
75,57441
76,57704
77,4959
78,80703
79,95645
80,21988
81,4900
82,5672
83,13315
84,15792
85,72590
86,42855
87,38850
88,68484
89,85450
90,77780
91,41819
92,68158
93,28132
94,21777
95,99852
96,68250
97,11030
98,64739
99,49411
100,25323
101,95620
102,86146
103,87082
104,23666
105,32033
106,84106
107,6673
108,41275
109,84076
110,36602
111,21976
112,13947
113,69806
114,896
115,20507
116,18648
117,61258
118,219
119,75889
120,78528
121,45473
122,69530
123,12319
124,60886
125,64503
126,12459
127,74490
128,9821
129,25508
130,73230
131,51425
132,30650
133,68442
134,74066
135,22092
136,46469
137,80175
138,29670
139,40364
140,56704
141,67936
142,45601
143,93516
144,52924
145,50401
146,34043
147,48676
148,60009
149,11444
150,98239
151,96800
152,22721
153,41402
154,50883
155,21737
156,5171
157,4847
158,23713
159,55028
160,66858
161,6097
162,86776
163,14951
164,57281
165,30362
166,15771
167,27306
168,42824
169,95259
170,37767
171,11459
172,43062
173,99555
174,19226
175,5334
176,16252
177,6254
178,95809
179,78676
180,4919
181,25896
182,39367
183,99821
184,36293
185,32326
186,28994
187,21985
188,27193
189,20910
190,14445
191,6933
192,50528
193,55823
194,72227
195,61217
196,69163
197,99265
198,75734
199,40611
200,18944
201,27863
202,21517
203,74487
204,25931
205,88954
206,88753
207,66005
208,20211
209,58016
210,83830
211,45949
212,5466
213,14032
214,33584
215,95370
216,31952
217,82416
218,38424
219,94612
220,95819
221,76448
222,62050
223,1434
224,99266
225,31374
226,95845
227,2372
228,68703
229,3650
230,16943
231,18802
232,71244
233,94799
234,89971
235,7866
236,72446
237,55158
238,12611
239,47713
240,63948
241,48935
242,31663
243,22623
244,41911
245,2707
246,7637
247,74534
248,90354
249,29219
250,4474
251,71792
252,77699
253,57685
254,2224
255,74150
256,56115
257,32885
258,90864
259,38242
260,39096
261,82514
262,19564
263,98577
264,10669
265,33864
266,23205
267,23076
268,91573
269,73519
270,15466
271,15476
272,42110
273,40391
274,62192
275,88393
276,72152
277,94182
278,68087
279,83804
280,44935
281,32601
282,58737
283,83336
284,64620
285,42839
286,59485
287,89487
288,13872
289,99903
290,12149
291,84516
292,85284
293,72050
294,12751
295,73264
296,73806
297,35398
298,38233
299,78015
300,38517
301,96435
302,34035
303,77113
304,26965
305,26378
306,31603
307,51652
308,63114
309,29013
310,19325
311,36844
312,46637
313,29320
314,66858
315,95768
316,70952
317,18855
318,10644
319,48403
320,24344
321,42108
322,79350
323,74272
324,19443
325,87970
326,559
327,75531
328,39709
329,26774
330,21396
331,14244
332,46999
333,82023
334,22046
335,48547
336,71348
337,90926
338,24231
339,72961
340,95623
341,52173
342,46432
343,79114
344,79464
345,89238
346,60035
347,39918
348,79506
349,61848
350,42320
